dominant_biome,air,andesite,cave_air,clay,deepslate,diamond_ore,diorite,dirt,granite,grass_block,gravel,kelp_plant,lava,moss_block,sand,seagrass,short_grass,stone,tall_seagrass,tuff,water
cold_ocean,66945,1126,0,10,12838,4,1406,430,1046,0,509,192,0,14,266,16,7,7569,10,1480,3265
cold_ocean,69941,1107,32,74,10713,0,516,242,421,0,665,39,1,130,25,8,0,5532,10,601,7121
cold_ocean,67516,1374,226,367,11889,0,1006,289,971,0,877,0,44,9,1,29,0,6785,22,893,4707
cold_ocean,66765,1049,376,202,13536,0,1475,1044,1227,0,411,0,149,0,235,14,0,6674,16,730,3162
cold_ocean,65968,927,380,16,14432,0,1086,518,836,0,435,0,83,0,345,21,0,8672,22,743,2374
cold_ocean,65795,1273,688,0,13791,0,1331,233,1525,0,447,143,5,0,74,16,0,7868,14,1057,2591
beach,66721,972,670,0,13747,0,1005,403,1191,0,411,0,2,0,403,0,0,7647,2,1210,2479
beach,66821,1094,689,0,12471,4,1283,273,1558,0,413,0,0,0,590,0,0,10184,0,1390,90
beach,66703,938,649,116,12843,5,1342,278,1073,0,387,0,2,0,768,0,0,10327,0,1104,308
beach,65833,930,672,203,13759,0,1122,211,1542,0,650,0,0,0,368,12,0,7510,8,1003,3109
cold_ocean,66206,796,808,219,13947,0,811,257,452,0,542,0,0,68,0,21,0,7033,12,787,5175
cold_ocean,66445,876,431,340,12995,0,523,337,944,0,536,0,8,184,0,22,4,4527,20,1094,7859
cold_ocean,66043,475,222,381,13981,0,519,248,982,0,440,0,125,0,0,5,0,7513,12,1272,4988
cold_ocean,66854,947,9,676,13925,0,1096,527,298,0,764,0,25,0,0,23,0,6833,16,1133,3328
cold_ocean,68045,683,59,616,14621,0,868,252,1323,0,758,0,0,0,0,22,0,5482,12,953,3479
cold_ocean,66315,476,0,948,13864,0,529,157,618,0,825,0,0,5,0,15,4,7753,10,1217,4467
cold_ocean,66357,1037,0,674,13089,0,1443,242,1013,0,517,0,0,10,0,27,1,7038,18,1277,4047
cold_ocean,66527,1323,0,883,13559,0,823,8,363,0,835,208,1,212,0,34,32,7859,30,826,3564
cold_ocean,66724,1367,0,1295,12688,0,604,214,1107,0,1030,350,0,102,1,12,29,7269,12,729,3556
cold_ocean,66268,1183,0,1434,13466,0,1355,329,704,0,490,243,0,74,0,30,30,6603,14,1055,3801
cold_ocean,65798,1138,0,1099,13671,0,1257,347,638,0,443,0,0,0,0,24,0,7019,12,800,5023
cold_ocean,65846,462,0,1097,13689,0,541,119,837,0,625,0,77,0,0,32,0,6151,30,1284,6444
cold_ocean,65795,838,0,1041,13889,6,818,30,734,0,816,35,45,0,0,22,0,6797,20,544,5723
cold_ocean,66875,285,0,743,12555,0,599,157,740,0,393,186,0,60,0,13,12,2951,12,1163,10547
cold_ocean,66322,730,0,1281,13172,0,901,177,844,0,436,131,0,86,1,4,2,5301,8,1204,6643
cold_ocean,65792,1025,0,928,14112,0,170,344,667,0,482,0,0,0,0,12,0,7797,10,1266,4596
cold_ocean,65852,1744,0,567,14093,0,806,191,224,0,492,0,1,24,0,11,4,7923,10,1434,3842
deep_cold_ocean,65996,875,0,1058,13846,2,1311,206,625,0,633,77,0,19,0,3,3,7550,20,1035,3953
deep_cold_ocean,66196,313,0,755,13637,0,924,100,1199,0,738,263,16,0,3,7,0,6786,60,980,5151
deep_cold_ocean,66291,905,0,379,13988,0,836,217,918,0,448,121,4,0,0,6,0,4601,48,1567,6062
deep_cold_ocean,65837,917,0,686,13638,0,701,335,968,0,789,78,45,0,0,8,0,4910,44,1545,6800
deep_cold_ocean,66443,1209,0,501,13306,0,545,88,1086,0,629,113,278,228,0,4,50,4488,36,1043,7132
deep_cold_ocean,66736,1333,0,707,12151,0,1072,93,1268,0,664,0,413,133,0,10,39,6021,22,890,5667
cold_ocean,66062,618,103,646,13498,0,1125,254,850,0,647,0,0,7,0,16,2,7089,18,1078,4751
cold_ocean,66754,914,0,834,12965,0,1076,211,521,0,603,209,0,182,0,22,12,7959,14,803,3676
cold_ocean,66254,754,0,574,13988,0,1060,210,578,0,499,81,0,100,3,24,6,6257,12,799,6026
cold_ocean,65792,1212,0,554,14132,0,472,374,1179,0,511,0,0,0,7,35,0,7805,30,1117,4020
cold_ocean,65812,921,0,275,14032,0,901,71,342,0,869,0,0,0,0,12,0,8645,10,1374,3942
cold_ocean,65859,672,0,500,14601,0,1014,341,721,0,748,331,4,0,0,12,0,7153,10,708,4495
cold_ocean,65984,1055,0,388,14085,4,1576,332,1390,0,550,259,33,1,171,27,0,8240,16,1006,1880
cold_ocean,66586,1160,0,459,13427,6,1134,195,1248,0,718,65,0,12,45,32,3,8661,18,861,2555
cold_ocean,66293,1083,0,441,14391,0,1013,158,843,0,630,0,0,0,0,31,0,7289,14,805,4125
cold_ocean,65881,1032,0,259,14280,0,859,486,983,0,906,0,1,0,203,19,0,8028,28,1162,3107
cold_ocean,71021,1015,0,62,9386,0,695,759,948,0,611,100,0,107,232,15,23,7905,4,1490,2932
cold_ocean,69195,858,0,25,12007,0,936,709,1079,0,249,0,0,132,282,26,18,7520,22,621,3478
cold_ocean,66248,881,0,158,14072,0,1154,183,1740,0,432,146,0,45,8,11,12,8318,20,1350,2326
cold_ocean,65917,962,0,129,14541,0,898,393,1708,0,642,166,0,0,201,28,0,8181,18,1155,2049
cold_ocean,65917,1009,0,123,14519,0,971,439,1273,0,533,202,0,0,54,21,0,8529,16,1416,2102
cold_ocean,65940,1322,204,170,14199,0,1010,556,1244,0,304,160,0,0,187,19,0,8387,12,904,2272
cold_ocean,66430,757,0,8,14306,8,477,936,1103,0,354,67,0,42,290,23,0,8691,12,1207,2325
cold_ocean,66577,557,0,114,14359,3,212,604,1380,0,385,54,0,7,100,25,0,5616,18,807,6170
cold_ocean,67434,1086,105,0,13692,0,506,327,572,0,677,49,0,0,40,13,0,7882,20,750,4050
cold_ocean,66199,1353,108,43,14072,0,1744,1249,755,0,817,67,0,0,213,16,0,6259,8,1300,2969
cold_ocean,66036,1040,388,12,14239,0,453,965,833,0,280,58,0,0,340,16,0,8702,20,1270,2357
river,65901,1160,318,19,14207,0,1220,511,994,0,297,26,1,0,245,6,0,8642,8,862,2687
beach,65770,1567,611,0,13831,0,976,414,770,0,459,0,34,0,454,0,0,7989,0,1477,2460
beach,65690,1150,580,0,13894,0,879,565,810,57,254,0,36,0,582,0,0,10791,0,1022,464
taiga,64593,1311,13,0,14844,0,913,1225,1649,244,353,0,0,0,7,0,1,10435,0,930,120
taiga,65127,1328,86,0,14159,0,1068,445,1027,149,562,0,0,0,332,0,3,11079,0,1454,0
beach,66261,1498,713,24,11642,0,1044,208,617,44,489,0,108,14,841,0,0,11838,0,1236,151
beach,66107,1154,499,349,13272,0,1432,238,895,0,376,0,0,0,989,0,0,9975,0,883,403
beach,66070,1090,636,200,13289,0,692,320,977,0,693,26,0,5,255,17,0,8456,14,1574,2495
beach,66191,1348,225,66,13036,2,562,402,1024,0,1056,30,0,96,8,17,30,7952,16,1248,3787
cold_ocean,66104,1212,0,607,12845,1,683,276,1140,0,885,19,23,134,0,7,0,7971,8,1694,3586
cold_ocean,67031,926,0,424,13786,0,872,41,1061,0,715,0,36,49,0,6,10,7992,6,760,3578
cold_ocean,67905,548,54,620,12962,0,880,334,484,0,680,0,2,291,0,22,53,8194,6,535,3602
cold_ocean,66662,836,0,619,13556,0,437,258,472,0,617,0,0,63,0,25,22,8602,26,1217,3792
cold_ocean,66279,1387,0,782,13296,0,321,314,826,0,929,14,0,75,0,22,10,7559,6,1190,3933
cold_ocean,66197,899,0,889,12823,1,422,369,1332,0,879,275,18,68,0,11,20,7920,18,1381,3657
cold_ocean,66474,1211,0,1069,12747,0,835,411,828,0,901,287,1,198,10,16,4,7049,16,1391,3736
cold_ocean,66273,826,0,995,13822,0,681,326,749,0,665,161,0,62,0,11,2,7357,12,939,4344
cold_ocean,66281,1155,0,1264,13201,0,1024,261,241,0,563,29,19,3,4,28,2,7944,32,980,4277
cold_ocean,66306,855,0,1273,13172,0,1032,432,381,0,498,54,0,74,0,13,32,7854,12,1080,4107
cold_ocean,66617,605,0,776,12927,0,266,272,1107,0,917,0,0,78,0,19,27,7154,16,1862,4623
cold_ocean,66059,1035,0,1394,13427,1,944,541,564,0,939,0,2,102,0,18,16,6612,16,959,4636
deep_cold_ocean,65829,343,0,1257,14079,2,319,175,1373,0,872,226,0,0,0,9,0,7383,48,629,4575
cold_ocean,66388,331,0,1109,13194,1,169,101,694,0,755,339,0,0,33,6,0,6277,26,1155,6539
deep_cold_ocean,67527,432,0,1232,12021,0,994,146,865,0,668,201,0,221,0,11,12,6211,58,891,5626
deep_cold_ocean,66631,1305,0,1301,12419,0,1134,201,357,0,582,0,0,147,7,10,5,6926,40,1176,4961
deep_cold_ocean,65919,1021,0,1206,13029,0,707,77,573,0,495,0,0,42,0,10,3,7011,68,1332,5675
deep_cold_ocean,66027,626,0,740,14055,4,761,22,773,0,812,73,36,2,0,8,1,6433,36,964,5845
deep_cold_ocean,66380,378,0,606,14173,0,906,232,1082,0,487,382,0,14,0,3,0,6385,44,694,5410
deep_cold_ocean,66068,320,0,1233,13252,0,1613,20,514,0,780,219,144,17,0,7,0,6322,56,1115,5509
deep_cold_ocean,66099,712,0,528,13972,0,808,153,298,0,552,321,192,26,0,10,0,6228,36,1007,6218
deep_cold_ocean,66324,1087,0,274,13521,1,524,101,843,0,600,275,78,225,0,8,46,4293,58,1540,7367
deep_cold_ocean,66706,711,0,465,12941,0,430,80,168,0,533,140,6,141,0,5,30,4719,30,1409,8725
deep_cold_ocean,66724,562,0,686,12315,0,687,132,397,0,458,39,402,325,0,6,50,5138,52,973,8274
cold_ocean,65989,1147,0,811,12740,0,423,302,1050,0,716,0,274,50,0,32,18,6702,60,1051,5870
cold_ocean,65961,576,0,681,14107,0,655,282,945,0,514,47,65,0,0,13,0,7859,4,1033,4513
cold_ocean,65886,669,0,908,14262,0,1091,225,61,0,526,332,0,0,0,11,0,8161,22,1051,3971
cold_ocean,65958,476,0,732,13961,0,672,260,823,0,508,83,0,0,18,9,0,6007,2,1113,6635
cold_ocean,65792,437,0,303,14680,0,794,216,726,0,545,0,0,0,0,13,0,5794,14,1402,6489
cold_ocean,65793,1008,0,302,15095,0,977,115,627,0,894,0,0,0,0,17,0,7585,18,760,4075
cold_ocean,65793,1159,4,182,15140,8,536,253,1385,0,774,166,2,0,0,21,0,7665,22,830,3198
cold_ocean,66122,838,0,533,14424,0,345,621,766,0,451,281,0,0,177,12,0,8425,10,1456,2136
cold_ocean,66163,981,0,150,14458,0,1495,203,708,0,865,223,0,0,30,20,0,7350,30,1256,2635
cold_ocean,66222,1407,23,217,14122,2,444,99,1256,0,468,0,10,0,0,18,0,6576,8,1722,3855
cold_ocean,65846,673,0,272,14571,0,1031,311,981,0,754,0,0,0,68,15,0,8267,20,1027,3412
cold_ocean,66960,956,0,225,13661,0,1208,452,593,0,712,0,0,104,114,22,6,7341,22,1196,3630
cold_ocean,73407,877,0,150,8296,0,892,217,691,0,621,0,0,89,14,13,16,5745,24,280,5882
cold_ocean,66115,1746,0,113,14155,2,907,318,732,0,545,0,0,7,0,15,0,8161,12,1281,3028
cold_ocean,66547,1730,0,127,13525,0,1106,509,990,0,442,0,0,41,116,24,2,7985,38,1496,2507
cold_ocean,66163,672,0,112,14771,0,800,758,899,0,333,42,0,0,164,12,0,9261,0,804,2462
cold_ocean,65913,1262,0,9,14868,0,1180,598,1330,0,336,16,0,0,372,12,0,8748,8,1425,1129
cold_ocean,65792,1001,0,129,15074,0,1335,667,1059,0,668,0,0,0,450,20,0,9021,14,818,1118
cold_ocean,65811,765,0,18,14592,0,808,874,1175,0,243,0,0,0,204,22,0,8519,16,1055,3074
cold_ocean,65792,1024,0,33,14632,0,1148,1223,1250,0,365,0,0,0,89,23,0,8276,14,1620,1735
cold_ocean,65838,1344,0,0,14210,0,819,776,999,0,703,66,0,0,60,26,0,6479,6,1263,4560
cold_ocean,66969,1048,0,28,13532,0,1928,1654,1287,0,470,206,0,0,137,18,0,6875,14,834,2099
cold_ocean,66119,1030,0,9,14652,0,1153,1265,1248,0,492,214,0,0,199,25,0,7504,20,1065,2061
cold_ocean,65809,712,53,11,14292,4,1173,773,1485,0,347,70,0,0,407,38,0,7577,32,1106,3337
river,66069,962,45,2,14481,0,956,549,953,0,122,0,0,0,630,23,0,8911,38,1316,1975
beach,65025,1588,207,0,14335,0,1101,372,921,92,368,0,32,0,509,0,5,9839,0,1317,957
taiga,65123,1514,157,0,14247,0,1036,1192,951,234,318,0,112,0,47,0,4,10697,0,1014,50
taiga,65254,1037,29,0,13871,0,1090,1074,1442,250,685,0,189,0,0,0,1,10939,0,935,18
taiga,65054,669,348,0,14212,0,675,1042,734,251,415,0,110,0,0,0,0,11719,0,1486,38
taiga,64483,1010,0,0,14578,3,1038,910,866,251,571,0,0,0,0,0,4,10406,0,1344,0
taiga,64911,1392,0,0,14458,0,1154,949,809,250,693,0,0,0,0,0,3,10943,0,1131,89
taiga,63760,1134,177,0,13528,0,1064,960,825,232,856,0,61,144,55,0,2,12264,0,1320,254
taiga,64041,1132,350,73,13173,2,903,607,1673,157,530,0,0,10,368,0,0,12052,0,1133,259
beach,65716,744,643,203,13393,0,1372,176,644,45,572,0,0,0,524,0,0,9635,0,1277,1296
beach,66322,871,234,192,14284,0,1051,286,1314,0,582,0,0,16,212,0,6,8021,0,1034,2215
beach,66071,1347,0,367,14275,0,776,111,721,0,343,8,26,29,0,0,0,7973,0,1335,3912
beach,66855,1200,36,878,12615,0,820,460,152,0,560,0,90,221,7,9,54,8212,6,1133,3851
cold_ocean,66708,1101,99,719,13616,0,782,137,41,0,300,0,193,101,10,15,17,8656,22,827,3857
cold_ocean,66428,1362,109,982,12959,0,890,359,598,0,858,6,0,11,24,25,5,7875,12,885,3770
cold_ocean,65857,1699,53,687,13566,0,545,339,511,0,557,314,0,0,0,30,0,8542,20,973,3468
cold_ocean,66137,814,0,602,14000,0,666,174,1140,0,519,278,75,5,0,19,0,7576,12,1368,3720
