,ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved
37,1226,Male,White,38,25-60,101837.1,690,183055,Part-time,Some College,Citizen,Fluent,Yes,No,High-income Suburban,Approved
38,6887,Male,Hispanic,24,Under 25,28483.89,505,448347,Full-time,High School,Citizen,Fluent,No,Yes,Rural,Denied
39,3399,Male,White,69,Over 60,49283.25,740,93046,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,Approved
40,1167,Male,White,79,Over 60,155213.56,781,424478,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
41,4668,Female,White,30,25-60,60031.77,676,375953,Full-time,Some College,Citizen,Fluent,Yes,No,Working Class Urban,Approved
42,4441,Male,White,52,25-60,73461.19,716,185724,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
43,8600,Female,Hispanic,61,Over 60,114403.87,700,155798,Self-employed,Some College,Citizen,Fluent,Yes,No,High-income Suburban,Approved
44,4566,Female,Black,38,25-60,376929.45,709,89912,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
45,9075,Male,Multiracial,19,Under 25,87593.69,663,408292,Part-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
46,7478,Female,White,69,Over 60,57240.25,768,360294,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
47,370,Female,Black,67,Over 60,140214.98,832,133161,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
48,3558,Female,Asian,32,25-60,76149.73,649,397078,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Denied
49,3560,Female,Black,38,25-60,39326.45,701,244148,Full-time,Bachelor's,Citizen,Limited,No,No,Rural,Denied
50,7842,Male,Asian,20,Under 25,45490.67,540,75045,Part-time,Bachelor's,Permanent Resident,Fluent,No,No,Historically Redlined,Denied
51,5798,Male,White,50,25-60,102737.73,679,409111,Full-time,Some College,Visa Holder,Limited,No,No,High-income Suburban,Approved
52,3221,Female,Hispanic,59,25-60,51495.62,659,442266,Full-time,High School,Visa Holder,Fluent,No,No,Working Class Urban,Denied
53,2638,Male,White,71,Over 60,119333.14,773,442357,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
54,2093,Female,White,56,25-60,66250.51,624,104857,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,Denied
55,5928,Male,Hispanic,29,25-60,192975.7,752,392050,Full-time,Bachelor's,Permanent Resident,Fluent,Yes,No,Urban Professional,Approved
56,8448,Female,White,21,Under 25,30897.3,544,315930,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Denied
57,7050,Female,Black,65,Over 60,45270.41,682,98033,Full-time,Some College,Citizen,Fluent,No,No,Rural,Approved
58,6121,Male,Black,45,25-60,45239.09,651,310299,Part-time,High School,Citizen,Fluent,No,No,Historically Redlined,Approved
59,9323,Male,White,56,25-60,41627.76,681,198730,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
60,8067,Male,White,53,25-60,43077.28,697,120262,Full-time,High School,Citizen,Fluent,Yes,No,Rural,Denied
61,7746,Female,Black,70,Over 60,79025.13,710,278750,Part-time,High School,Citizen,Fluent,No,No,Urban Professional,Approved
62,5452,Male,White,47,25-60,154882.53,734,349484,Full-time,Graduate,Permanent Resident,Fluent,No,No,Working Class Urban,Approved
63,4027,Male,White,51,25-60,53631.29,644,304224,Full-time,High School,Citizen,Fluent,No,Yes,Urban Professional,Denied
64,4214,Female,White,28,25-60,93273.87,741,103854,Part-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
65,2190,Female,White,48,25-60,91484.1,694,186241,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Denied
66,5197,Male,White,81,Over 60,72432.09,718,420731,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,Denied
67,6248,Female,White,22,Under 25,44730.22,607,144409,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Approved
68,5637,Male,White,29,25-60,63177.86,637,259142,Part-time,High School,Citizen,Fluent,No,Yes,High-income Suburban,Denied
69,9484,Male,White,37,25-60,33941.2,586,286257,Full-time,Some College,Visa Holder,Limited,No,No,Historically Redlined,Denied
70,2664,Female,Black,21,Under 25,75074.43,518,151858,Gig,Bachelor's,Citizen,Fluent,No,Yes,Working Class Urban,Denied
71,223,Female,White,57,25-60,117655.46,758,348392,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
72,7535,Female,Black,82,Over 60,31341.19,633,273294,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,Denied
73,3564,Male,White,72,Over 60,46953.55,659,331566,Full-time,High School,Citizen,Limited,No,No,Urban Professional,Denied
74,3430,Male,White,59,25-60,107828.54,729,395264,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
75,3461,Male,White,44,25-60,81129.43,695,336052,Self-employed,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
76,7861,Male,Hispanic,48,25-60,41130.03,657,201891,Full-time,Some College,Citizen,Fluent,No,No,Rural,Denied
77,3178,Male,Hispanic,48,25-60,43540.54,629,362570,Part-time,Some College,Citizen,Fluent,No,Yes,Working Class Urban,Denied
78,8731,Male,Black,54,25-60,167188.89,677,425585,Full-time,Graduate,Citizen,Limited,No,No,Urban Professional,Approved
79,3226,Female,Asian,25,25-60,124373.75,699,206533,Self-employed,Some College,Permanent Resident,Fluent,No,No,High-income Suburban,Approved
80,6009,Female,White,25,25-60,46508.56,676,362437,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban,Approved
81,4236,Male,White,42,25-60,44128.84,669,180064,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Approved
82,7794,Male,White,76,Over 60,54726.66,784,325265,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban,Approved
83,3671,Male,White,51,25-60,210016.55,711,311077,Full-time,Graduate,Permanent Resident,Fluent,No,No,Urban Professional,Approved
84,3653,Female,Asian,36,25-60,254442.79,753,353006,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,Approved
85,3721,Male,White,46,25-60,97833.83,707,281944,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Approved
86,3350,Female,White,57,25-60,174117.57,695,254774,Self-employed,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
87,1274,Male,White,39,25-60,141282.97,733,425149,Full-time,Some College,Permanent Resident,Fluent,No,No,High-income Suburban,Approved
88,5338,Female,Black,62,Over 60,50958.13,728,359025,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
89,8692,Female,Hispanic,19,Under 25,173175.75,566,373719,Full-time,Bachelor's,Citizen,Fluent,No,Yes,High-income Suburban,Denied
90,3573,Female,Black,29,25-60,162045.96,732,81238,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
91,5342,Male,White,28,25-60,64036.06,642,219575,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Denied
92,2862,Male,White,67,Over 60,67466.81,727,324744,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
93,6406,Male,White,31,25-60,132125.15,666,96470,Unemployed,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
94,6771,Male,Black,78,Over 60,57552.73,692,216347,Full-time,Some College,Citizen,Fluent,No,No,Rural,Approved
95,3688,Male,White,35,25-60,55586.09,660,349340,Gig,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Denied
96,1457,Non-binary,White,19,Under 25,151788.44,597,138999,Full-time,Graduate,Citizen,Fluent,No,Yes,High-income Suburban,Approved
97,4355,Non-binary,Native American,22,Under 25,95054.86,652,159005,Self-employed,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
98,8964,Female,White,54,25-60,64636.89,625,179139,Full-time,High School,Citizen,Fluent,Yes,Yes,High-income Suburban,Denied
99,5105,Male,White,63,Over 60,49334.55,722,92395,Gig,Some College,Citizen,Fluent,Yes,No,Rural,Denied
100,2158,Female,Hispanic,76,Over 60,46993.58,681,409497,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,Approved
101,8034,Female,White,76,Over 60,140505.74,736,81853,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
102,7908,Male,White,23,Under 25,160808.69,578,207684,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Denied
103,523,Female,White,58,25-60,278759.73,716,254235,Full-time,Graduate,Visa Holder,Fluent,No,No,Urban Professional,Approved
104,2471,Female,White,45,25-60,183326.64,738,361307,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
105,1983,Female,White,19,Under 25,40041.66,596,361777,Part-time,High School,Citizen,Fluent,No,No,Rural,Denied
106,3356,Male,White,79,Over 60,44965.39,670,264478,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Rural,Denied
107,1927,Female,White,65,Over 60,59852.28,711,251197,Self-employed,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
108,9028,Female,White,43,25-60,113314.25,652,319412,Self-employed,Some College,Citizen,Fluent,No,No,High-income Suburban,Denied
109,5846,Male,White,23,Under 25,24507.54,534,246464,Full-time,Some College,Citizen,Fluent,No,No,Rural,Denied
110,8075,Non-binary,White,67,Over 60,43537.44,678,135660,Self-employed,High School,Permanent Resident,Fluent,No,No,Working Class Urban,Approved
111,3717,Male,Hispanic,22,Under 25,55075.79,566,333136,Full-time,High School,Citizen,Fluent,No,No,Rural,Denied
112,7159,Female,White,60,25-60,35519.91,626,201984,Full-time,Some College,Citizen,Limited,Yes,No,Historically Redlined,Approved
113,1386,Female,Hispanic,65,Over 60,42596.89,749,199464,Gig,Some College,Citizen,Fluent,Yes,No,Rural,Approved
114,7297,Male,White,70,Over 60,33272.63,630,371457,Full-time,Bachelor's,Permanent Resident,Limited,No,No,Historically Redlined,Denied
115,1332,Female,White,53,25-60,79143.0,639,370813,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
116,9420,Female,Black,31,25-60,214824.25,665,71250,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
117,6137,Female,Black,82,Over 60,33017.52,704,200742,Full-time,Some College,Visa Holder,Limited,No,No,Historically Redlined,Denied
118,222,Female,White,80,Over 60,40762.44,735,136764,Full-time,Bachelor's,Citizen,Limited,No,No,Rural,Approved
119,2865,Male,Black,60,25-60,98339.49,679,242340,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
120,939,Female,Hispanic,41,25-60,63776.28,682,75496,Gig,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
121,1374,Male,Hispanic,42,25-60,85007.63,705,176445,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Approved
122,4021,Male,Black,46,25-60,65338.57,620,238775,Self-employed,Some College,Citizen,Fluent,No,No,Rural,Denied
123,2248,Female,Hispanic,71,Over 60,30596.1,643,330954,Self-employed,High School,Permanent Resident,Fluent,Yes,No,Historically Redlined,Denied
124,3294,Male,White,49,25-60,94353.84,743,167083,Full-time,High School,Visa Holder,Fluent,No,No,Urban Professional,Approved
125,5762,Female,Asian,62,Over 60,76263.19,703,356300,Part-time,Graduate,Citizen,Fluent,No,No,Rural,Denied
126,8345,Male,White,82,Over 60,63685.7,670,295471,Full-time,Some College,Permanent Resident,Fluent,No,No,Working Class Urban,Approved
127,9851,Male,White,20,Under 25,28733.09,584,261718,Full-time,High School,Citizen,Limited,Yes,No,Working Class Urban,Denied
128,4618,Female,Black,19,Under 25,34681.55,556,255637,Full-time,High School,Permanent Resident,Fluent,No,No,Working Class Urban,Denied
129,3444,Female,Black,58,25-60,129660.2,705,263183,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
130,9495,Male,White,21,Under 25,48174.57,554,384138,Full-time,Bachelor's,Citizen,Limited,No,No,Working Class Urban,Denied
131,5185,Female,Black,22,Under 25,106894.2,692,449370,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
132,5738,Female,White,48,25-60,43019.31,703,121050,Full-time,Some College,Permanent Resident,Limited,No,No,Working Class Urban,Approved
133,1748,Male,Hispanic,65,Over 60,49517.95,764,443727,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Approved
134,6117,Male,White,23,Under 25,62839.51,593,425426,Full-time,Some College,Citizen,Limited,No,No,Urban Professional,Approved
135,7619,Male,White,32,25-60,106781.03,668,78932,Unemployed,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
136,9334,Female,Hispanic,41,25-60,108498.19,729,185252,Part-time,High School,Citizen,Fluent,No,No,Urban Professional,Approved
137,3485,Female,White,51,25-60,121585.62,713,404907,Part-time,Some College,Citizen,Fluent,Yes,No,Urban Professional,Approved
138,8976,Male,White,80,Over 60,27651.17,659,204255,Gig,High School,Citizen,Fluent,No,Yes,Rural,Denied
139,6369,Male,White,59,25-60,82398.26,763,446140,Part-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
140,5719,Male,Hispanic,27,25-60,40626.52,652,327543,Full-time,Some College,Citizen,Fluent,Yes,No,Historically Redlined,Approved
141,3000,Male,Multiracial,40,25-60,81165.91,773,410234,Full-time,Some College,Citizen,Limited,Yes,No,High-income Suburban,Approved
142,1080,Female,Black,36,25-60,115296.91,747,305062,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
143,677,Male,Hispanic,43,25-60,63713.26,656,147557,Full-time,Graduate,Citizen,Limited,No,No,Working Class Urban,Approved
144,7598,Male,White,47,25-60,56657.75,686,217377,Full-time,Some College,Citizen,Fluent,Yes,No,Working Class Urban,Approved
145,1354,Male,White,56,25-60,39077.26,685,352743,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Denied
146,1565,Male,Asian,53,25-60,128400.19,691,68952,Part-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
147,4348,Female,White,77,Over 60,24785.42,631,204674,Part-time,Some College,Citizen,Limited,No,No,Rural,Denied
148,340,Female,Asian,36,25-60,79098.94,704,307748,Self-employed,Graduate,Citizen,Fluent,Yes,No,Historically Redlined,Approved
149,7301,Male,Hispanic,57,25-60,51215.52,619,263533,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
150,383,Male,Hispanic,30,25-60,33191.36,583,94029,Full-time,High School,Citizen,Fluent,No,No,Rural,Denied
151,6750,Male,White,61,Over 60,61270.9,646,279350,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Historically Redlined,Denied
152,6255,Male,White,45,25-60,70497.89,648,313278,Full-time,Graduate,Citizen,Fluent,No,Yes,Working Class Urban,Denied
153,8262,Female,White,20,Under 25,113669.62,658,374914,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
154,4707,Male,Multiracial,71,Over 60,43863.2,717,337256,Full-time,Some College,Citizen,Fluent,No,No,Rural,Denied
155,8227,Female,White,62,Over 60,83714.88,691,312892,Part-time,High School,Citizen,Fluent,No,Yes,High-income Suburban,Approved
156,7000,Female,Asian,57,25-60,152482.92,811,177494,Full-time,Some College,Visa Holder,Fluent,No,No,High-income Suburban,Approved
157,8520,Female,Hispanic,23,Under 25,30861.66,551,327032,Full-time,High School,Permanent Resident,Fluent,No,No,Rural,Denied
158,9975,Female,Black,41,25-60,47789.78,644,337347,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
159,2357,Female,Asian,24,Under 25,75876.48,617,81434,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Historically Redlined,Denied
160,4509,Male,Multiracial,24,Under 25,151903.72,603,80464,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Denied
161,3622,Female,Hispanic,56,25-60,113713.74,744,278923,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
162,1981,Female,White,78,Over 60,166811.67,795,403755,Self-employed,Some College,Permanent Resident,Fluent,No,No,High-income Suburban,Approved
163,9393,Female,White,34,25-60,41879.09,679,167246,Full-time,Some College,Citizen,Fluent,No,No,Rural,Approved
164,8880,Male,White,62,Over 60,112015.2,693,176828,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional,Approved
165,5511,Male,Black,29,25-60,38838.18,639,205932,Gig,Some College,Citizen,Fluent,No,No,Rural,Approved
166,6409,Non-binary,White,60,25-60,36342.94,664,449792,Self-employed,Some College,Citizen,Fluent,No,No,Historically Redlined,Denied
167,2518,Female,Hispanic,33,25-60,26845.23,609,235943,Full-time,High School,Citizen,Limited,No,No,Working Class Urban,Denied
168,9796,Male,White,68,Over 60,37091.95,642,248616,Full-time,Some College,Permanent Resident,Fluent,No,Yes,Working Class Urban,Denied
169,3192,Female,White,30,25-60,78076.17,625,52740,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,Approved
170,9741,Female,White,19,Under 25,135844.12,635,440589,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
171,7937,Female,White,31,25-60,137999.22,700,146263,Gig,Some College,Visa Holder,Fluent,No,No,Urban Professional,Approved
172,9983,Female,White,57,25-60,55490.66,641,348776,Full-time,Bachelor's,Citizen,Fluent,No,No,Rural,Denied
173,2916,Female,White,21,Under 25,147845.91,674,71184,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Urban Professional,Approved
174,6777,Female,White,34,25-60,127321.21,737,78827,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
175,6948,Female,Asian,38,25-60,133536.46,674,170905,Full-time,Bachelor's,Citizen,Limited,No,No,High-income Suburban,Approved
176,1942,Female,White,58,25-60,46368.22,659,215977,Part-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Denied
177,5668,Female,White,42,25-60,83589.09,708,97386,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Approved
178,2097,Male,White,74,Over 60,104096.58,765,410589,Unemployed,High School,Citizen,Fluent,No,No,Urban Professional,Approved
179,2375,Male,White,81,Over 60,100105.94,782,333883,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
180,7489,Female,Black,64,Over 60,38637.94,694,312914,Part-time,High School,Visa Holder,Fluent,No,No,Historically Redlined,Approved
181,899,Female,Hispanic,29,25-60,53933.56,664,190962,Self-employed,Some College,Citizen,Fluent,No,No,Historically Redlined,Denied
182,7151,Male,White,77,Over 60,109486.2,759,106136,Full-time,Graduate,Citizen,Fluent,Yes,No,Working Class Urban,Approved
183,834,Female,White,82,Over 60,179459.58,747,401931,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
184,6368,Female,White,23,Under 25,127646.9,649,50922,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
185,7559,Female,White,62,Over 60,64925.21,700,445270,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban,Approved
186,9866,Female,White,61,Over 60,63971.44,698,414427,Self-employed,Graduate,Citizen,Limited,No,Yes,Working Class Urban,Approved
187,8374,Female,Black,74,Over 60,112396.22,731,172625,Full-time,Some College,Citizen,Fluent,No,Yes,High-income Suburban,Approved
188,5011,Female,White,74,Over 60,53162.23,719,242448,Full-time,High School,Permanent Resident,Fluent,No,No,Rural,Approved
189,9207,Female,White,29,25-60,69756.73,688,368798,Full-time,Graduate,Citizen,Limited,No,No,Historically Redlined,Approved
190,6486,Female,White,73,Over 60,94830.7,757,373544,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
191,6191,Male,Hispanic,77,Over 60,207966.77,811,233609,Part-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
192,800,Female,White,58,25-60,37854.58,692,344114,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Denied
193,1435,Male,White,50,25-60,64590.82,707,315507,Part-time,Bachelor's,Citizen,Fluent,No,No,Rural,Approved
194,75,Female,White,56,25-60,46988.63,632,165907,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Denied
195,8954,Female,White,64,Over 60,96519.47,757,175264,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Approved
196,5229,Male,White,40,25-60,215011.96,678,204899,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Approved
197,889,Female,White,74,Over 60,114830.65,734,131922,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
198,5843,Male,White,35,25-60,46207.62,629,111312,Full-time,High School,Citizen,Fluent,No,Yes,High-income Suburban,Denied
199,2321,Female,White,79,Over 60,75529.69,732,214285,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban,Denied
200,4768,Female,Hispanic,74,Over 60,57435.44,714,304716,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,Approved
201,5256,Non-binary,White,18,Under 25,71993.1,662,287218,Gig,Graduate,Citizen,Limited,No,No,Working Class Urban,Denied
202,2980,Male,Black,33,25-60,55517.72,716,370976,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
203,142,Male,White,23,Under 25,162728.13,635,148762,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
204,1843,Female,White,71,Over 60,206710.38,769,109649,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,Approved
205,6440,Female,Hispanic,65,Over 60,97855.78,803,217744,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Denied
206,5241,Female,White,36,25-60,51149.97,706,106983,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Approved
207,6553,Male,Hispanic,26,25-60,116461.47,704,373904,Full-time,High School,Citizen,Fluent,No,No,Urban Professional,Approved
208,5693,Female,Black,39,25-60,100004.97,695,423279,Gig,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
209,5189,Male,Hispanic,64,Over 60,84226.05,766,52170,Full-time,High School,Citizen,Fluent,Yes,No,Urban Professional,Approved
210,4920,Male,White,60,25-60,53061.76,664,417779,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Rural,Denied
211,6568,Non-binary,Hispanic,45,25-60,44420.34,677,90879,Gig,Some College,Citizen,Limited,No,No,Working Class Urban,Denied
212,915,Female,White,21,Under 25,216338.77,666,91377,Gig,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
213,2988,Female,Hispanic,69,Over 60,132292.79,750,96246,Part-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
214,7797,Male,White,25,25-60,110598.98,703,339827,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
215,8331,Female,White,29,25-60,89186.47,755,102918,Self-employed,High School,Citizen,Fluent,Yes,No,Urban Professional,Approved
216,8816,Male,Black,78,Over 60,119804.57,757,374659,Part-time,Graduate,Citizen,Fluent,No,Yes,High-income Suburban,Approved
217,5372,Female,White,29,25-60,64775.12,668,58049,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
